Id,site,date,pixels,meanBare,stdevBare,meanGreen,stdevGreen,meanDead,stdevDead
5,WITCHCON2,198912199002,179,58.45,8.27,9.64,4.55,30.42,4.97
6,WITCHCON3,198912199002,178,64.69,6.94,6.62,4.20,27.21,3.78
1,WITCHEX1,199003199005,171,61.58,5.76,1.06,0.62,35.88,5.82
2,WITCHEX2,199003199005,175,46.42,10.94,0.32,0.48,51.68,11.06
3,WITCHEX3,199003199005,180,60.42,10.58,0.53,0.53,37.50,10.55
4,WITCHCON1,199003199005,174,54.48,7.64,0.07,0.25,43.95,7.78
5,WITCHCON2,199003199005,179,61.06,11.45,0.64,0.57,36.86,11.39
6,WITCHCON3,199003199005,178,66.92,8.57,0.79,0.46,30.87,8.48
1,WITCHEX1,199006199008,171,52.00,6.92,2.80,2.19,43.76,6.65
2,WITCHEX2,199006199008,175,41.05,11.25,0.83,0.94,56.59,11.00
3,WITCHEX3,199006199008,180,52.24,12.09,1.05,1.46,45.25,11.75
4,WITCHCON1,199006199008,174,47.59,8.27,0.17,0.46,50.75,8.34
5,WITCHCON2,199006199008,179,53.02,11.49,1.89,1.96,43.59,10.60
6,WITCHCON3,199006199008,178,59.10,9.03,2.04,1.88,37.38,7.97
1,WITCHEX1,199009199011,171,67.75,3.47,0.84,0.36,30.05,3.51
2,WITCHEX2,199009199011,175,58.72,10.21,0.35,0.48,39.33,10.31
3,WITCHEX3,199009199011,180,69.78,6.10,0.59,0.50,28.18,6.06
4,WITCHCON1,199009199011,174,64.27,4.49,0.13,0.33,34.03,4.65
5,WITCHCON2,199009199011,179,65.20,7.93,0.89,0.47,32.50,7.92
6,WITCHCON3,199009199011,178,72.24,5.39,0.93,0.27,25.66,5.30
1,WITCHEX1,199012199102,171,73.58,3.70,0.66,0.47,24.33,3.76
2,WITCHEX2,199012199102,175,66.64,7.49,0.56,0.52,31.27,7.43
3,WITCHEX3,199012199102,180,74.19,4.05,0.71,0.45,23.71,4.00
4,WITCHCON1,199012199102,174,69.56,3.80,0.16,0.37,28.59,3.85
