ID,Landform,PV_mean,PV_stdev,PV_min,PV_max,NPV_mean,NPV_stdev,NPV_min,NPV_max,Bare_mean,Bare_stdev,Bare_min,Bare_max
150,2,5.3008,5.5155,0.0000,26.0000,32.7218,11.7814,6.0000,66.0000,60.5714,13.1814,26.0000,88.0000
151,2,2.4184,4.5087,0.0000,22.0000,23.7305,9.6616,6.0000,46.0000,72.7234,12.3306,41.0000,91.0000
152,2,6.5420,7.7983,0.0000,37.0000,28.9084,8.9079,5.0000,47.0000,63.2443,10.4364,36.0000,87.0000
153,2,20.3571,16.9866,0.0000,69.0000,49.2357,11.9107,15.0000,77.0000,29.1286,10.9530,1.0000,59.0000
154,2,22.8865,13.8744,1.0000,59.0000,46.8156,9.9556,22.0000,67.0000,28.8298,9.2751,10.0000,55.0000
155,2,11.9453,9.3142,0.0000,39.0000,33.5000,12.1224,7.0000,62.0000,53.2109,16.5263,19.0000,87.0000
156,2,11.5312,8.0136,0.0000,36.0000,58.4922,7.0467,40.0000,79.0000,28.6953,6.9917,14.0000,43.0000
157,2,1.6434,1.9442,0.0000,7.0000,5.7597,4.4492,0.0000,19.0000,91.5891,4.4611,77.0000,100.0000
158,2,13.2698,10.4952,0.0000,53.0000,59.5794,9.2722,32.0000,80.0000,25.7857,10.7980,6.0000,55.0000
159,2,17.2199,11.7238,0.0000,47.0000,44.3759,11.3697,21.0000,69.0000,37.0284,8.7583,20.0000,61.0000
160,2,15.5113,11.1697,0.0000,59.0000,46.7744,8.5344,26.0000,72.0000,36.3233,11.5541,8.0000,61.0000
161,2,3.6159,4.1096,0.0000,23.0000,35.0145,6.0301,22.0000,53.0000,60.0435,6.8333,37.0000,75.0000
162,2,9.2340,9.9100,0.0000,52.0000,39.3688,12.5497,9.0000,69.0000,49.9078,17.1964,8.0000,86.0000
163,2,15.5390,10.3263,1.0000,47.0000,43.9716,7.8415,25.0000,65.0000,39.0496,9.3614,13.0000,68.0000
164,2,19.7163,9.8545,5.0000,48.0000,35.8794,9.2801,17.0000,63.0000,42.8936,13.7049,19.0000,73.0000
165,2,12.7286,14.2051,0.0000,62.0000,46.7429,14.7824,16.0000,84.0000,39.0714,18.6155,6.0000,80.0000
166,2,7.9574,6.4466,0.0000,37.0000,39.4326,6.3417,24.0000,55.0000,51.2128,8.5658,23.0000,69.0000
167,2,13.8936,12.6669,0.0000,57.0000,43.6099,9.9015,18.0000,68.0000,41.0780,12.6699,7.0000,72.0000
168,2,13.8369,14.4392,0.0000,64.0000,50.3050,14.1922,22.0000,91.0000,34.5461,15.6094,4.0000,72.0000
169,2,22.9640,13.1742,5.0000,64.0000,40.0432,12.0424,8.0000,69.0000,35.5396,15.1744,11.0000,83.0000
170,2,23.3262,14.4725,0.0000,63.0000,48.4610,12.1267,21.0000,76.0000,26.8156,9.9606,7.0000,62.0000
171,2,4.8085,4.2559,0.0000,23.0000,33.2695,6.8788,18.0000,50.0000,60.5319,7.5995,42.0000,77.0000
172,2,31.3475,14.6742,8.0000,68.0000,41.6383,9.0321,19.0000,62.0000,25.5816,9.1319,6.0000,49.0000
173,2,22.7481,12.1425,3.0000,59.0000,47.3130,9.9718,24.0000,74.0000,28.5802,10.9899,6.0000,64.0000
174,2,15.3066,12.8532,0.0000,63.0000,46.6715,10.3290,19.0000,70.0000,36.5401,14.1334,2.0000,68.0000
175,2,12.7163,15.0339,0.0000,68.0000,52.8511,17.2733,11.0000,98.0000,33.1986,19.3091,0.0000,86.0000
176,2,13.1556,12.6566,0.0000,59.0000,52.0444,11.3776,23.0000,94.0000,33.5185,12.6502,0.0000,60.0000
177,2,29.4397,13.1140,7.0000,64.0000,40.5319,10.8481,18.0000,70.0000,28.5035,7.9872,11.0000,47.0000
178,2,18.2879,6.4497,8.0000,39.0000,32.3333,7.6601,10.0000,47.0000,47.8258,11.1603,26.0000,78.0000
179,2,15.3475,16.4204,0.0000,72.0000,49.9291,11.9903,15.0000,85.0000,33.4823,15.1959,5.0000,65.0000
180,2,16.1702,10.8660,0.0000,47.0000,32.2128,12.4774,0.0000,61.0000,50.1631,18.1212,18.0000,96.0000
181,2,2.7752,3.0071,0.0000,13.0000,16.1395,8.6533,0.0000,36.0000,79.8295,9.3941,61.0000,96.0000
182,2,26.2411,10.7907,12.0000,58.0000,34.0993,7.5139,14.0000,54.0000,38.0213,11.9547,12.0000,66.0000
183,2,13.4803,13.2462,0.0000,67.0000,50.2835,12.8534,12.0000,83.0000,34.8976,13.4953,4.0000,68.0000
184,2,16.5745,9.8198,1.0000,52.0000,43.6383,7.6892,29.0000,68.0000,38.3262,8.9732,12.0000,59.0000
185,2,26.5746,8.2845,15.0000,54.0000,35.9104,6.3557,19.0000,53.0000,36.0821,9.0982,13.0000,55.0000
186,2,27.7444,13.0883,4.0000,65.0000,40.1654,11.0523,21.0000,75.0000,30.5414,10.3332,9.0000,58.0000
187,2,6.2837,4.5652,0.0000,24.0000,26.2411,11.3843,0.0000,54.0000,65.9220,12.5580,39.0000,92.0000
188,2,3.5267,3.2582,0.0000,15.0000,19.3053,9.5261,0.0000,43.0000,75.8702,9.9506,51.0000,97.0000
189,2,6.4184,4.5385,0.0000,27.0000,29.6099,7.5407,11.0000,50.0000,62.5177,8.2338,34.0000,85.0000
190,2,5.8582,4.4236,0.0000,25.0000,25.3972,8.4282,2.0000,43.0000,67.2270,9.7387,37.0000,89.0000
191,2,19.1357,13.6963,1.0000,62.0000,45.2857,8.8126,21.0000,65.0000,34.1571,11.8396,9.0000,60.0000
192,2,7.2695,3.8443,0.0000,18.0000,24.2128,10.0360,1.0000,49.0000,67.0567,10.8103,44.0000,94.0000
193,2,15.2695,15.0106,0.0000,65.0000,36.6525,12.9248,4.0000,66.0000,46.6950,19.4393,12.0000,94.0000
194,2,14.7447,11.5871,0.0000,57.0000,43.3617,8.4813,25.0000,62.0000,40.4113,12.4479,8.0000,67.0000
195,2,15.5390,10.9035,1.0000,47.0000,41.2908,8.7044,24.0000,63.0000,41.7376,11.7453,5.0000,68.0000
196,2,5.4545,9.0423,0.0000,48.0000,31.1515,11.5440,8.0000,60.0000,62.2197,14.9602,21.0000,91.0000
197,2,7.0000,3.6319,0.0000,19.0000,22.4962,12.2508,0.0000,55.0000,68.9618,13.2356,32.0000,94.0000
198,2,5.2015,5.2771,0.0000,23.0000,26.9478,11.8632,0.0000,54.0000,66.4627,14.5831,32.0000,98.0000
199,2,9.5224,9.7174,0.0000,58.0000,49.9925,10.9732,25.0000,77.0000,39.0746,14.2753,2.0000,67.0000
200,2,5.4965,5.2086,0.0000,34.0000,14.7589,8.8043,1.0000,39.0000,78.4894,11.3853,44.0000,98.0000
